equity_signal,Final Equity,Total Return,Max Drawdown,combination_name,total_trades,Signal,Ticker
rema_50100150__rtt_5020_equity_constant,8561.93350000001,-14.380664999999905,-33.30735688740584,rema_50100150__rtt_5020,75.0,rema_50100150__rtt_5020,SBUX
rema_50100150__rbo_100_equity_constant,8227.545900000012,-17.72454099999988,-39.43129278630556,rema_50100150__rbo_100,98.0,rema_50100150__rbo_100,SBUX
rtt_5020__rtt_5020_equity_constant,8081.708700000005,-19.18291299999996,-35.31261707016744,rtt_5020__rtt_5020,4.0,rtt_5020__rtt_5020,SBUX
rtt_5020__rbo_50_equity_constant,8081.708700000005,-19.18291299999996,-35.31261707016744,rtt_5020__rbo_50,4.0,rtt_5020__rbo_50,SBUX
rema_50100150__rbo_50_equity_constant,7924.086800000001,-20.75913199999999,-36.00787071752997,rema_50100150__rbo_50,105.0,rema_50100150__rbo_50,SBUX
rbo_20__rsma_50100150_equity_constant,7835.163099999991,-21.648369000000088,-37.74452350264054,rbo_20__rsma_50100150,47.0,rbo_20__rsma_50100150,SBUX
rbo_20__rtt_5020_equity_constant,7823.957500000011,-21.760424999999884,-36.99413402418796,rbo_20__rtt_5020,6.0,rbo_20__rtt_5020,SBUX
rtt_5020__rbo_100_equity_constant,7794.507100000005,-22.054928999999944,-36.318148279684046,rtt_5020__rbo_100,22.0,rtt_5020__rbo_100,SBUX
rbo_20__rbo_100_equity_constant,7771.949400000002,-22.280505999999978,-36.49284041099398,rbo_20__rbo_100,38.0,rbo_20__rbo_100,SBUX
rbo_100__rbo_20_equity_constant,7762.46960000001,-22.375303999999897,-33.03041775447689,rbo_100__rbo_20,48.0,rbo_100__rbo_20,SBUX
rbo_50__rtt_5020_equity_convex,7744.725699999986,-22.55274300000014,-91.10205461020182,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020,SBUX
rbo_50__rtt_5020_equity_concave,7744.725699999986,-22.55274300000014,-91.10205461020182,rbo_50__rtt_5020,4.0,rbo_50__rtt_5020,SBUX
rbo_50__rbo_50_equity_concave,7744.725699999986,-22.55274300000014,-91.10205461020182,rbo_50__rbo_50,4.0,rbo_50__rbo_50,SBUX
rbo_50__rbo_50_equity_convex,7744.725699999986,-22.55274300000014,-91.10205461020182,rbo_50__rbo_50,4.0,rbo_50__rbo_50,SBUX
rbo_100__rema_50100150_equity_constant,7646.588800000005,-23.53411199999995,-33.9202313808587,rbo_100__rema_50100150,34.0,rbo_100__rema_50100150,SBUX
rsma_50100150__rbo_50_equity_constant,7361.074699999992,-26.38925300000008,-41.42071374853762,rsma_50100150__rbo_50,88.0,rsma_50100150__rbo_50,SBUX
rema_50100150__rbo_20_equity_concave,7341.638899999993,-26.583611000000072,-78.4844343928119,rema_50100150__rbo_20,88.0,rema_50100150__rbo_20,SBUX
rema_50100150__rbo_20_equity_convex,7261.130299999996,-27.38869700000004,-73.24101304813743,rema_50100150__rbo_20,88.0,rema_50100150__rbo_20,SBUX
rema_50100150__rsma_50100150_equity_constant,7160.970500000007,-28.39029499999993,-43.97487608322916,rema_50100150__rsma_50100150,60.0,rema_50100150__rsma_50100150,SBUX
rsma_50100150__rbo_20_equity_constant,7156.962299999993,-28.430377000000075,-40.353768682704896,rsma_50100150__rbo_20,81.0,rsma_50100150__rbo_20,SBUX
rbo_100__rsma_50100150_equity_constant,7134.787399999995,-28.652126000000056,-37.13011694871349,rbo_100__rsma_50100150,53.0,rbo_100__rsma_50100150,SBUX
rsma_50100150__rbo_100_equity_constant,7012.358100000001,-29.876418999999988,-43.31477561771207,rsma_50100150__rbo_100,77.0,rsma_50100150__rbo_100,SBUX
rtt_5020_equity_convex,6967.619300000007,-30.32380699999993,-86.54119820127352,rtt_5020,,rtt_5020,SBUX
rema_50100150__rema_50100150_equity_convex,6964.846200000011,-30.351537999999888,-90.18711601485305,rema_50100150__rema_50100150,5.0,rema_50100150__rema_50100150,SBUX
rsma_50100150__rtt_5020_equity_constant,6906.693299999992,-30.93306700000008,-41.19405975273087,rsma_50100150__rtt_5020,71.0,rsma_50100150__rtt_5020,SBUX
rsma_50100150__rema_50100150_equity_constant,6875.7722,-31.242278,-48.003899341127145,rsma_50100150__rema_50100150,22.0,rsma_50100150__rema_50100150,SBUX
rtt_5020_equity_concave,6827.953400000009,-31.720465999999902,-86.80556813337998,rtt_5020,,rtt_5020,SBUX
rbo_20__rema_50100150_equity_convex,6788.274199999992,-32.117258000000085,-91.35384361124429,rbo_20__rema_50100150,17.0,rbo_20__rema_50100150,SBUX
rsma_50100150__rsma_50100150_equity_constant,6635.9714,-33.640286,-46.38270553477476,rsma_50100150__rsma_50100150,6.0,rsma_50100150__rsma_50100150,SBUX
rbo_100__rtt_5020_equity_constant,6109.888599999994,-38.90111400000006,-47.309480282322845,rbo_100__rtt_5020,29.0,rbo_100__rtt_5020,SBUX
rbo_20__rema_50100150_equity_concave,6028.766299999996,-39.71233700000004,-92.312667946896,rbo_20__rema_50100150,17.0,rbo_20__rema_50100150,SBUX
